Product,Category,Q1 Sales,Q2 Sales,Q3 Sales,Q4 Sales,Unit Price
Phantom Widget,Electronics,150,220,180,310,29.99
Ghost Gadget,Electronics,90,120,95,140,49.99
Specter Speaker,Audio,200,180,240,290,79.99
Haunted Headphones,Audio,80,95,110,125,59.99
Poltergeist Pro,Software,500,620,580,720,19.99
Spirit Scanner,Hardware,45,60,55,85,149.99
Wraith Webcam,Hardware,120,150,180,210,39.99
Ecto Earbuds,Audio,300,280,350,420,34.99
Ghoul GPS,Electronics,75,90,85,110,89.99
Banshee Battery,Accessories,400,450,520,600,14.99

